title,rating,year,actors,languages,runtime,url
De dag des oordeels,8.1,1943,Thorkild Roose; Lisbeth Movin; Sigrid Neiiendam; Kirsten Andreasen,Danish,97,https://www.imdb.com//title/tt0036506/
The Life and Death of Colonel Blimp,8.1,1943,Roger Livesey; Deborah Kerr; Anton Walbrook; James McKechnie,English;French;German,163,https://www.imdb.com//title/tt0036112/
Double Indemnity,8.3,1944,Fred MacMurray; Barbara Stanwyck; Edward G. Robinson; Byron Barr,English,107,https://www.imdb.com//title/tt0036775/
Laura,7.9,1944,Gene Tierney; Dana Andrews; Clifton Webb; Vincent Price,English,88,https://www.imdb.com//title/tt0037008/
Avontuur op Martinique,7.8,1944,Humphrey Bogart; Lauren Bacall; Walter Brennan; Dolores Moran,English;French,100,https://www.imdb.com//title/tt0037382/
De belhamel,7.7,1944,Heinz Rühmann; Karin Himboldt; Hilde Sessak; Erich Ponto,German,97,https://www.imdb.com//title/tt0036818/
Gaslicht,7.8,1944,Charles Boyer; Ingrid Bergman; Joseph Cotten; May Whitty,English;Italian,114,https://www.imdb.com//title/tt0036855/
Roma città aperta,8.0,1945,Anna Magnani; Aldo Fabrizi; Marcello Pagliero; Vito Annichiarico,Italian;German;Latin,103,https://www.imdb.com//title/tt0038890/
Er groeit een boom in Brooklyn,8.0,1945,Dorothy McGuire; Joan Blondell; James Dunn; Lloyd Nolan,English,129,https://www.imdb.com//title/tt0038190/
Mildred Pierce,8.0,1945,Joan Crawford; Jack Carson; Zachary Scott; Eve Arden,English;French,111,https://www.imdb.com//title/tt0037913/
Brief Encounter,8.0,1945,Celia Johnson; Trevor Howard; Stanley Holloway; Joyce Carey,English;French,86,https://www.imdb.com//title/tt0037558/
Les enfants du paradis,8.3,1945,Arletty; Jean-Louis Barrault; Pierre Brasseur; Pierre Renoir,French,189,https://www.imdb.com//title/tt0037674/
Notorious,7.9,1946,Cary Grant; Ingrid Bergman; Claude Rains; Louis Calhern,English;French;Portuguese,102,https://www.imdb.com//title/tt0038787/
De schoenpoetsertjes,8.0,1946,Rinaldo Smordoni; Franco Interlenghi; Annielo Mele; Bruno Ortensi,Italian;English,87,https://www.imdb.com//title/tt0038913/
Een Zaak van Leven en Dood,8.0,1946,David Niven; Kim Hunter; Robert Coote; Kathleen Byron,English;French;Russian,104,https://www.imdb.com//title/tt0038733/
De beste jaren van ons leven,8.1,1946,Myrna Loy; Dana Andrews; Fredric March; Teresa Wright,English,170,https://www.imdb.com//title/tt0036868/
It's a Wonderful Life,8.6,1946,James Stewart; Donna Reed; Lionel Barrymore; Thomas Mitchell,English;French,130,https://www.imdb.com//title/tt0038650/
Gangsters vergeten niet,8.0,1947,Robert Mitchum; Jane Greer; Kirk Douglas; Rhonda Fleming,English;American Sign Language,97,https://www.imdb.com//title/tt0039689/
Miracle on 34th Street,7.9,1947,Edmund Gwenn; Maureen O'Hara; John Payne; Gene Lockhart,English;Dutch,96,https://www.imdb.com//title/tt0039628/
Black Narcissus,7.8,1947,Deborah Kerr; David Farrar; Flora Robson; Jenny Laird,English,101,https://www.imdb.com//title/tt0039192/
Mrs. Muir ziet spoken,7.8,1947,Gene Tierney; Rex Harrison; George Sanders; Edna Best,English,104,https://www.imdb.com//title/tt0039420/
Monsieur Verdoux,7.8,1947,Charles Chaplin; Mady Correll; Allison Roddan; Robert Lewis,English,124,https://www.imdb.com//title/tt0039631/
I Remember Mama,7.9,1948,Irene Dunne; Barbara Bel Geddes; Oskar Homolka; Philip Dorn,English;Norwegian;Latin;French,134,https://www.imdb.com//title/tt0040458/
