title,rating,year,actors,runtime,url
La meglio gioventù,8.5,2003,Luigi Lo Cascio; Alessio Boni; Jasmine Trinca; Adriana Asti,366,https://www.imdb.com//title/tt0346336/
Oldeuboi,8.4,2003,Choi Min-sik; Yoo Ji-Tae; Kang Hye-jeong; Kim Byeong-Ok,120,https://www.imdb.com//title/tt0364569/
Profesionalac,8.4,2003,Bora Todorovic; Branislav Lecic; Natasa Ninkovic; Dragan Jovanovic,104,https://www.imdb.com//title/tt0339535/
The Lord of the Rings: The Two Towers,8.8,2002,Elijah Wood; Ian McKellen; Viggo Mortensen; Orlando Bloom,179,https://www.imdb.com//title/tt0167261/
Cidade de Deus,8.6,2002,Alexandre Rodrigues; Leandro Firmino; Matheus Nachtergaele; Phellipe Haagensen,130,https://www.imdb.com//title/tt0317248/
The Pianist,8.5,2002,Adrien Brody; Thomas Kretschmann; Frank Finlay; Emilia Fox,150,https://www.imdb.com//title/tt0253474/
Filantropica,8.4,2002,Mircea Diaconu; Gheorghe Dinica; Mara Nicolescu; Viorica Voda,110,https://www.imdb.com//title/tt0314067/
Kannathil Muthamittal,8.4,2002,Madhavan; Simran; Prakash Raj; Nandita Das,136,https://www.imdb.com//title/tt0312859/
The Lord of the Rings: The Fellowship of the Ring,8.8,2001,Elijah Wood; Ian McKellen; Orlando Bloom; Sean Bean,178,https://www.imdb.com//title/tt0120737/
Spirited Away,8.6,2001,Daveigh Chase; Suzanne Pleshette; Miyu Irino; Rumi Hiiragi,125,https://www.imdb.com//title/tt0245429/
Le fabuleux destin d'Amélie Poulain,8.3,2001,Audrey Tautou; Mathieu Kassovitz; Rufus; Lorella Cravotta,122,https://www.imdb.com//title/tt0211915/
A Beautiful Mind,8.2,2001,Russell Crowe; Ed Harris; Jennifer Connelly; Christopher Plummer,135,https://www.imdb.com//title/tt0268978/
Dil Chahta Hai,8.1,2001,Aamir Khan; Saif Ali Khan; Akshaye Khanna; Preity Zinta,183,https://www.imdb.com//title/tt0292490/
O Auto da Compadecida,8.6,2000,Matheus Nachtergaele; Selton Mello; Rogério Cardoso; Denise Fraga,104,https://www.imdb.com//title/tt0271383/
Gladiator,8.5,2000,Russell Crowe; Joaquin Phoenix; Connie Nielsen; Oliver Reed,155,https://www.imdb.com//title/tt0172495/
